Method,Genre,Decade,Topic
BERT,Rap,70s,"[('que', 0.16979861151451484), ('de', 0.13637211221788637), ('la', 0.11777591509726551), ('não', 0.09177529351587628), ('el', 0.0667736806716061), ('ritz', 0.0664351954640369), ('un', 0.06529404499383885), ('car', 0.06410598611310399), ('vibin', 0.06248701501530471), ('vida', 0.05910103345510897)]"
BERT,Rap,70s,"[('the', 0.08258328101983071), ('feat', 0.07508848829822443), ('swear', 0.06889187872719942), ('and', 0.04467892277801807), ('you', 0.04430784894500301), ('to', 0.041566786342936674), ('my', 0.03721414816702301), ('in', 0.033032584347397566), ('yuh', 0.032009901283210344), ('of', 0.031346454608893244)]"
BERT,Rap,70s,"[('you', 0.12079817270573939), ('the', 0.10373729301737422), ('hey', 0.08417691655237089), ('to', 0.0806838001033175), ('my', 0.07476897813556066), ('and', 0.06505642104019428), ('love', 0.05389399812705534), ('in', 0.049924224136948615), ('what', 0.047729024589816635), ('ritz', 0.045236608538444543)]"
BERT,Rap,80s,"[('you', 0.05509466258724205), ('the', 0.04784189458495985), ('to', 0.04158796336086652), ('and', 0.04020536696356872), ('your', 0.03424717629243011), ('it', 0.03230159914973129), ('in', 0.026312319457733435), ('of', 0.025943743015250167), ('on', 0.025315475263553464), ('is', 0.022720526855535838)]"
BERT,Rap,80s,"[('the', 0.0694624728930508), ('and', 0.05140315924534472), ('you', 0.0489282258714659), ('to', 0.04672967037416892), ('on', 0.04004012207892856), ('rock', 0.03751811113603788), ('it', 0.03707812235001421), ('your', 0.030889618429093345), ('we', 0.026616004404813178), ('all', 0.026177524847073738)]"
BERT,Rap,80s,"[('swear', 0.09150204008044263), ('the', 0.0463441060392843), ('and', 0.04517622770259675), ('you', 0.038429815780391785), ('was', 0.03485173583245256), ('to', 0.03473765803871707), ('he', 0.03184998504770816), ('that', 0.03133157081143655), ('my', 0.03106564294183796), ('his', 0.02869618016336682)]"
BERT,Rap,80s,"[('love', 0.06456663299641446), ('you', 0.06385533610539884), ('me', 0.05778490498771057), ('to', 0.04461677360022317), ('la', 0.044032496557642395), ('the', 0.035117132311910076), ('can', 0.03491524012603664), ('that', 0.03391827574420621), ('baby', 0.032771087933735364), ('my', 0.03273325934586488)]"
BERT,Rap,80s,"[('mi', 0.11092139698442756), ('di', 0.05222614040115678), ('you', 0.050389706685270465), ('say', 0.04571281189426207), ('an', 0.04295636427269769), ('it', 0.03731962157545949), ('cah', 0.0348190636437933), ('fi', 0.03452818587393198), ('hey', 0.03376872662969951), ('the', 0.032874384099844105)]"
BERT,Rap,80s,"[('black', 0.06531456019726005), ('swear', 0.05885303050332377), ('is', 0.053641552389013636), ('the', 0.05090275262905739), ('and', 0.04976439694042517), ('time', 0.04892250949570853), ('to', 0.04520264717709254), ('of', 0.04319740504936789), ('we', 0.041947215724763454), ('revolution', 0.037982370341904596)]"
BERT,Rap,80s,"[('the', 0.04928084653316173), ('and', 0.04758120446318678), ('gil', 0.046581733033694596), ('heron', 0.04622161686496116), ('scott', 0.04599797327012839), ('that', 0.03891008216268868), ('of', 0.038753792110489814), ('it', 0.03756982733169545), ('is', 0.035890927654760374), ('to', 0.03506534146517763)]"
BERT,Rap,80s,"[('di', 0.07024219458840697), ('mi', 0.06952787719820493), ('zion', 0.059000699875629524), ('say', 0.05219697406106844), ('an', 0.05106594449760166), ('natty', 0.050112974700381126), ('you', 0.047741050365964946), ('jah', 0.04772380270082084), ('cah', 0.047312014443546824), ('go', 0.046259180444263005)]"
BERT,Rap,80s,"[('de', 0.15928380497847744), ('que', 0.14412253148744025), ('el', 0.12479384606331596), ('se', 0.10326900263273965), ('la', 0.08653310545058028), ('en', 0.06712612698520397), ('las', 0.0661216286755854), ('un', 0.06188549832100324), ('eu', 0.051494119321086045), ('por', 0.05002285876905502)]"
BERT,Rap,80s,"[('le', 0.08461620764687648), ('ça', 0.08340334116571546), ('est', 0.07802529116157787), ('de', 0.07001957781788308), ('du', 0.06673261124376499), ('que', 0.06614825560981319), ('en', 0.06526103152809831), ('et', 0.06322115058285296), ('ez', 0.05746841917441637), ('fatigué', 0.053562143666689134)]"
BERT,Rap,90s,"[('the', 0.1211995798319045), ('you', 0.08806117189122055), ('and', 0.08222627656984634), ('to', 0.07599283609219747), ('it', 0.0625589371304817), ('my', 0.04642344365540553), ('that', 0.04417533618567987), ('in', 0.0437416528752912), ('swear', 0.04269250709822626), ('is', 0.03935331315254182)]"
