Method,Genre,Decade,Topic
BERT,Rap,70s,"[('revolution', 0.19742606740477542), ('comes', 0.14260904965053103), ('change', 0.07302623083758171), ('love', 0.06528362733461324), ('jah', 0.0636943664776326), ('id', 0.06308858197810338), ('verse', 0.058143726790604255), ('provide', 0.05253063192141735), ('would', 0.05222658825038408), ('long', 0.0519987786443762)]"
BERT,Rap,70s,"[('im', 0.06261265814687583), ('rock', 0.0532743083140943), ('dont', 0.052507983946154795), ('got', 0.04119215277045538), ('ya', 0.037746329597740685), ('said', 0.03742868057707252), ('na', 0.03639668677626654), ('say', 0.03626653808657974), ('cause', 0.034427879095096675), ('beat', 0.033797757828812294)]"
BERT,Rap,70s,"[('black', 0.06717525383430765), ('new', 0.04636159221060143), ('dot', 0.045724488960580754), ('people', 0.043514712508636526), ('scottheron', 0.037204888289051864), ('gil', 0.037204888289051864), ('love', 0.037040454842010226), ('verse', 0.03640774995828486), ('wadada', 0.030812070007846137), ('white', 0.030244088834302234)]"
BERT,Rap,80s,"[('im', 0.05239797840136986), ('dont', 0.04572577038286559), ('got', 0.04380336483374515), ('cause', 0.04327428291527159), ('verse', 0.034029313051395324), ('know', 0.033996027618520504), ('man', 0.03354127497327028), ('say', 0.027446649975422416), ('make', 0.02576310527422004), ('go', 0.025727221696821997)]"
BERT,Rap,80s,"[('im', 0.07480487477585135), ('got', 0.044990177445009896), ('cause', 0.04429511215327288), ('youre', 0.032712465081703175), ('dont', 0.0318397480147217), ('aint', 0.031007448260183475), ('compton', 0.02910080812594109), ('verse', 0.028589202367711765), ('ren', 0.028125058423113556), ('thats', 0.02794185998816915)]"
BERT,Rap,80s,"[('breaks', 0.060331725065924637), ('baby', 0.059876296628504064), ('push', 0.05716996260284317), ('want', 0.05711268470190999), ('say', 0.0506190035628237), ('hey', 0.04923496066598237), ('im', 0.04732514633301498), ('said', 0.044624528311317455), ('verse', 0.04352743768745642), ('got', 0.043499331104239355)]"
BERT,Rap,90s,"[('im', 0.061148257706442874), ('way', 0.03917474987106243), ('got', 0.03897390163645209), ('verse', 0.03828616638081057), ('aint', 0.033286557223298985), ('dont', 0.032244850523882485), ('thats', 0.03005399305301127), ('em', 0.030025460322832792), ('yeah', 0.0296781066818513), ('love', 0.029576325939720326)]"
BERT,Rap,90s,"[('got', 0.04777541675411877), ('im', 0.045103598017632696), ('yeah', 0.04046802214905834), ('biggie', 0.040404388160770334), ('dont', 0.04000450345785626), ('know', 0.03780016863060655), ('big', 0.03449268877740573), ('aint', 0.03375033262401208), ('cause', 0.029099627938232116), ('verse', 0.028371741443972687)]"
BERT,Rap,90s,"[('im', 0.055053305664478004), ('got', 0.03567330259110985), ('man', 0.03358141707250115), ('life', 0.03327336748794571), ('one', 0.030625034705370587), ('verse', 0.02955911385494757), ('know', 0.028130089796134225), ('world', 0.027066751458905455), ('die', 0.026899000426036414), ('cause', 0.02611622479340691)]"
BERT,Rap,00s,"[('im', 0.05124839928775376), ('got', 0.037411168721755435), ('know', 0.036873871828067624), ('dont', 0.03349509500776656), ('yeah', 0.03018645051176514), ('aint', 0.02979206663954564), ('chorus', 0.029597185380471167), ('cant', 0.029016802884723504), ('na', 0.02714691489021175), ('verse', 0.027031746838284066)]"
BERT,Rap,00s,"[('im', 0.0769903940591015), ('cause', 0.047818186893342024), ('back', 0.04484829720918114), ('dont', 0.03983399322835616), ('shady', 0.035163704823929005), ('got', 0.032935028033891395), ('slim', 0.030002414377692292), ('aint', 0.029165586638633674), ('verse', 0.02697047128942126), ('say', 0.026405414002963066)]"
BERT,Rap,00s,"[('im', 0.05322267215891618), ('make', 0.048416733352773154), ('love', 0.044063505864451236), ('dont', 0.042013518725010156), ('mama', 0.04013911411999076), ('got', 0.038107089922983846), ('feel', 0.03793381779541842), ('baby', 0.03634724682760265), ('see', 0.03458326570447504), ('know', 0.034409901926646426)]"
BERT,Rap,00s,"[('im', 0.047952383285174434), ('got', 0.04455192955511982), ('know', 0.041067570451297976), ('man', 0.038305532047528984), ('ti', 0.038141950995846836), ('ever', 0.03535717250034586), ('kanye', 0.03486436267471149), ('forever', 0.032961902573861404), ('brother', 0.03285204692191566), ('good', 0.031754189768104894)]"
BERT,Rap,10s,"[('im', 0.07139119253762141), ('got', 0.05733401187453699), ('dont', 0.04436336656521551), ('yeah', 0.042414168283067696), ('one', 0.03504648068412755), ('know', 0.03278379367546996), ('na', 0.032727735217380254), ('back', 0.02990501528204762), ('gon', 0.02838830405694138), ('love', 0.02772645777988383)]"
BERT,Rap,10s,"[('im', 0.0692767029775291), ('yeah', 0.05635300656219796), ('got', 0.04385595156214584), ('dont', 0.039810985155928506), ('ayy', 0.035924272403988475), ('know', 0.03549396338244926), ('man', 0.0277435323656366), ('go', 0.02729434165925216), ('aint', 0.026228067732491617), ('gang', 0.025793518990523814)]"
BERT,Rap,10s,"[('dont', 0.07353304668290672), ('uh', 0.06506427498792872), ('hol', 0.05945482723839048), ('know', 0.05689627489284391), ('love', 0.05628852012228781), ('im', 0.052451972675616555), ('yeah', 0.052336802528817214), ('never', 0.04427005938376672), ('na', 0.043722080774929194), ('bad', 0.04175186116180485)]"
BERT,Rap,20s,"[('im', 0.09731601156682824), ('yeah', 0.09607694057635463), ('got', 0.06464614594632888), ('dont', 0.050562871341676925), ('know', 0.048450644800772984), ('aint', 0.041908762882381476), ('verse', 0.03435998988699431), ('chorus', 0.0331620066296954), ('go', 0.033052446624308035), ('see', 0.03072536868205357)]"
TIME,TIME,TIME,418.2212755680084
