Method,Genre,Decade,Topic
BERT,Rap,70s,"[('woulda', 0.24295208114203626), ('movie', 0.22778459425060837), ('devil', 0.2177959198013672), ('exorcist', 0.16999521539759724), ('smell', 0.16196805409469084), ('see', 0.15813978839936507), ('girl', 0.14793705514296832), ('room', 0.1425549437493851), ('muthafuckin', 0.1425549437493851), ('muthafucka', 0.11124348936795676)]"
BERT,Rap,70s,"[('im', 0.06825313036780092), ('rock', 0.05908797702481336), ('dont', 0.05454265780840946), ('got', 0.044862326546399565), ('ya', 0.0414842627632162), ('na', 0.040342856497298046), ('said', 0.03926139783917808), ('cause', 0.03848955906300803), ('beat', 0.0375998772380115), ('say', 0.03692195415226256)]"
BERT,Rap,70s,"[('black', 0.0527818889217635), ('people', 0.036838244809851164), ('new', 0.03543180985698703), ('love', 0.03282720829245224), ('verse', 0.02962167902259924), ('dot', 0.029471605957269435), ('white', 0.02691994385834259), ('revolution', 0.025324921133145856), ('know', 0.025173929996737326), ('scottheron', 0.023980318474077448)]"
BERT,Rap,80s,"[('im', 0.057886461817702635), ('got', 0.0521403033248251), ('cause', 0.03920509476512301), ('make', 0.0389859700806392), ('dont', 0.03711293760491862), ('youre', 0.034798563862297835), ('thats', 0.032734542881054374), ('go', 0.03264532522680369), ('verse', 0.032347286562268165), ('know', 0.03171850944270925)]"
BERT,Rap,80s,"[('im', 0.06551410028826633), ('dont', 0.04662031483574136), ('cause', 0.04632691173388594), ('got', 0.03598768852048582), ('know', 0.03236999462828772), ('verse', 0.031544500502331076), ('aint', 0.028932248307197022), ('funky', 0.02872751998630042), ('thats', 0.02813414941272672), ('man', 0.026174917239261082)]"
BERT,Rap,80s,"[('got', 0.047702579532127753), ('im', 0.04559959347059027), ('said', 0.03965642679271832), ('verse', 0.039029262069233045), ('say', 0.03666240084392766), ('cause', 0.03643630193253091), ('dont', 0.03594810259726643), ('man', 0.035156691217294256), ('time', 0.031313085953035), ('want', 0.03082242629235336)]"
BERT,Rap,90s,"[('im', 0.04237416312559554), ('got', 0.040640358403101), ('dont', 0.0326405729144364), ('verse', 0.029833462018989045), ('man', 0.027957657790634013), ('know', 0.02625231994426873), ('aint', 0.024669950898990562), ('cause', 0.023699170438152888), ('yeah', 0.023442229190655924), ('youre', 0.022924354819424172)]"
BERT,Rap,90s,"[('im', 0.049600971968630524), ('one', 0.044248163646395604), ('nas', 0.040401544188275844), ('love', 0.03547014553699126), ('represent', 0.0337642444232481), ('world', 0.031164982049788646), ('verse', 0.02670133045648059), ('ice', 0.02554923074915617), ('never', 0.02516610466893911), ('mine', 0.02347977073347031)]"
BERT,Rap,90s,"[('biggie', 0.07265077985370068), ('yeah', 0.05099490833068741), ('got', 0.04420337618997636), ('im', 0.04175578527508202), ('bad', 0.04013905401421639), ('know', 0.038155258558774795), ('aint', 0.037459549735060875), ('big', 0.036889722113030404), ('money', 0.0352493173606267), ('wish', 0.03486727024566703)]"
BERT,Rap,90s,"[('im', 0.07096079180968184), ('got', 0.0486980403458796), ('pac', 0.04666492140323874), ('dont', 0.04490625545091118), ('way', 0.04449257778523548), ('see', 0.04230034528717307), ('judge', 0.042011684241087324), ('live', 0.04088114619048886), ('thats', 0.04010080575007091), ('cause', 0.03919765792582462)]"
