Method,Genre,Decade,Topic
BERT,Rap,70s,"[('revolution', 0.05433820052094129), ('verse', 0.04969377999997191), ('yeah', 0.03932164103704646), ('comes', 0.03925073946858139), ('fight', 0.03775699447216304), ('got', 0.034715227609410815), ('good', 0.03464209568538355), ('youre', 0.03419648640381759), ('im', 0.033607591957799915), ('zimbabwe', 0.032450423298065335)]"
BERT,Rap,70s,"[('im', 0.07164313218926649), ('rock', 0.06257607106170363), ('dont', 0.056047963549805825), ('said', 0.044658783682164034), ('got', 0.04407109538147618), ('ya', 0.042064602868074855), ('beat', 0.04123439809553148), ('na', 0.04090722900895563), ('cause', 0.04052135677437108), ('say', 0.03880561022452772)]"
BERT,Rap,70s,"[('black', 0.05372338087584353), ('new', 0.046696869012244124), ('people', 0.0375596580021452), ('dot', 0.036223158270226215), ('scottheron', 0.03583100350255976), ('gil', 0.03583100350255976), ('love', 0.02888513087589551), ('verse', 0.027896740954027277), ('know', 0.02784684779953226), ('time', 0.027640614942059657)]"
BERT,Rap,80s,"[('push', 0.09395903010478134), ('got', 0.0597714149490747), ('sleep', 0.05356468101160797), ('love', 0.05343610111702262), ('ah', 0.0503380097834583), ('brooklyn', 0.04827348835091378), ('basketball', 0.043843320778608835), ('salt', 0.043491214259172406), ('milk', 0.04315632066830795), ('baby', 0.04294119245721638)]"
BERT,Rap,80s,"[('im', 0.06272544791024652), ('got', 0.04464249573137396), ('cause', 0.044550479387143106), ('dont', 0.04259798346373657), ('verse', 0.032128908256362554), ('man', 0.031708562119692724), ('thats', 0.02783620034324741), ('know', 0.027115263886260718), ('make', 0.02633364205823946), ('go', 0.025111400988756215)]"
BERT,Rap,80s,"[('say', 0.05069288252282594), ('know', 0.04824993098761692), ('said', 0.04699946083500452), ('im', 0.04643568313074852), ('dont', 0.04274649488149522), ('want', 0.042617984614761566), ('girl', 0.042561692305380705), ('hey', 0.04191200102873051), ('girls', 0.04158523817638862), ('verse', 0.036333226363458745)]"
BERT,Rap,90s,"[('im', 0.05780607089802748), ('got', 0.05121799916826962), ('dont', 0.03608999060749812), ('aint', 0.033456880902756315), ('verse', 0.029920271691915704), ('yeah', 0.026972040465962313), ('know', 0.026720870046694684), ('cause', 0.02607090479945687), ('biggie', 0.025691943333849693), ('na', 0.025392808440886348)]"
BERT,Rap,90s,"[('im', 0.04704114447170549), ('world', 0.037853078388723614), ('one', 0.03407209230655199), ('verse', 0.03353754374729513), ('love', 0.029976864261258604), ('got', 0.029077844514314936), ('nas', 0.028651147377294062), ('cause', 0.028495864502088086), ('say', 0.026815924130984378), ('man', 0.025042098315923886)]"
BERT,Rap,90s,"[('yeah', 0.06249155854437747), ('know', 0.054500609069598714), ('big', 0.04937560698501726), ('im', 0.04484258030396722), ('dont', 0.04400923477765264), ('got', 0.03880151452141638), ('money', 0.03666156717879139), ('aint', 0.035928127787618995), ('wish', 0.034193270557097546), ('bad', 0.033931282706853305)]"
BERT,Rap,00s,"[('im', 0.06238660663557485), ('know', 0.04078395270725014), ('dont', 0.040179436447567746), ('got', 0.03819266327304884), ('back', 0.03442406708376242), ('chorus', 0.0301317869010591), ('verse', 0.029458953120893763), ('na', 0.027619564583651217), ('cant', 0.02695662951230669), ('see', 0.026844839872009314)]"
BERT,Rap,00s,"[('got', 0.04616676552344536), ('im', 0.04221255338901819), ('know', 0.038271266162252175), ('kanye', 0.034843397657714645), ('west', 0.033241553455471584), ('ever', 0.03220809881538357), ('right', 0.03174282179208437), ('forever', 0.030499228636803617), ('man', 0.028712981283719703), ('back', 0.028491839943648477)]"
BERT,Rap,00s,"[('im', 0.08969277625242283), ('cause', 0.05189857583485721), ('dont', 0.048563868028188295), ('aint', 0.04007875743977862), ('got', 0.039626998667869125), ('never', 0.035521660342328544), ('eminem', 0.033038119708972344), ('em', 0.031512617670795745), ('say', 0.03058038683400371), ('verse', 0.029396726245849367)]"
BERT,Rap,10s,"[('im', 0.07519438868396112), ('got', 0.0478014273419485), ('yeah', 0.0450162166032996), ('dont', 0.04323077293475023), ('one', 0.033573493123408425), ('know', 0.03321343996291874), ('love', 0.030946417832478774), ('youre', 0.030201916075143533), ('aint', 0.02834070036974573), ('want', 0.027576505973716695)]"
BERT,Rap,10s,"[('yeah', 0.07495927248163524), ('im', 0.07318465378422583), ('got', 0.0583246944841968), ('dont', 0.045790001371365026), ('gang', 0.03570106773869352), ('aint', 0.0333875850886304), ('man', 0.032662889572107466), ('know', 0.031425720172201105), ('go', 0.02683358848581891), ('gucci', 0.02677480699412371)]"
BERT,Rap,10s,"[('dont', 0.055913543278179746), ('know', 0.05502816684057904), ('im', 0.04453026197912205), ('na', 0.04289625802020188), ('hol', 0.04156400952834615), ('love', 0.04116825884833597), ('gon', 0.034701029916579425), ('wan', 0.032886097326835215), ('one', 0.031085561660279787), ('feel', 0.030972107932017264)]"
BERT,Rap,20s,"[('im', 0.09731601156682824), ('yeah', 0.09607694057635463), ('got', 0.06464614594632888), ('dont', 0.050562871341676925), ('know', 0.048450644800772984), ('aint', 0.041908762882381476), ('verse', 0.03435998988699431), ('chorus', 0.0331620066296954), ('go', 0.033052446624308035), ('see', 0.03072536868205357)]"
TIME,TIME,TIME,188.8790726661682
