Method,Genre,Decade,Topic
BERT,Rap,70s,"[('christmas', 0.23126776189659834), ('merry', 0.12397277078083546), ('wish', 0.07191760252406576), ('to', 0.06817061100928484), ('aah', 0.06631348071813871), ('my', 0.06440690950879994), ('ooh', 0.06439746719385409), ('happy', 0.05955375548241265), ('be', 0.047915900273642), ('holidays', 0.04609016045982328)]"
BERT,Rap,70s,"[('to', 0.07215957924287539), ('me', 0.05330121502871034), ('in', 0.04953839968438197), ('my', 0.04693595397008818), ('it', 0.04379803758929996), ('love', 0.038690471046809255), ('your', 0.03456003494154447), ('be', 0.034466346056668304), ('that', 0.034044912204845984), ('all', 0.032148163585952814)]"
BERT,Rap,70s,"[('eva', 0.08519342042567897), ('to', 0.05279440020590915), ('but', 0.04952966212637049), ('be', 0.04835227583601094), ('me', 0.04498861079206328), ('copacabana', 0.04327519709934434), ('peron', 0.042180411500941484), ('not', 0.04200513770980625), ('your', 0.041660535210225336), ('all', 0.039980035601698785)]"
BERT,Rap,80s,"[('higher', 0.0526856491482749), ('to', 0.04607762034490615), ('george', 0.043187323555644926), ('in', 0.03616766538594686), ('is', 0.03350833152427086), ('it', 0.03346558368254555), ('spoken', 0.030959932856287564), ('me', 0.030779976274805134), ('your', 0.02960165840141799), ('all', 0.025994147206824175)]"
BERT,Rap,80s,"[('to', 0.048986277302962754), ('me', 0.04594887326019521), ('in', 0.037294566591150824), ('my', 0.03691716713453978), ('it', 0.03492511693641614), ('love', 0.03292874443830993), ('your', 0.030171222150346635), ('all', 0.02711329806690984), ('is', 0.0263097726298963), ('be', 0.026199554371904257)]"
BERT,Rap,80s,"[('cat', 0.09200234752391274), ('cats', 0.08246223460597833), ('jellicle', 0.0782312402063679), ('was', 0.05022826630744305), ('his', 0.04899680668105542), ('he', 0.04719087188514564), ('company', 0.04703554739609828), ('jellicles', 0.04581603531971754), ('to', 0.04519832876707187), ('mungojerrie', 0.04043553397032794)]"
BERT,Rap,80s,"[('christine', 0.10200432893727447), ('phantom', 0.0790327482936195), ('raoul', 0.07888894180914666), ('firmin', 0.0591019407223277), ('andre', 0.04850309954041702), ('this', 0.043621299008343356), ('to', 0.041742261197546315), ('is', 0.04119163997438509), ('angel', 0.039269929071602094), ('giry', 0.03846896200146745)]"
BERT,Rap,80s,"[('woods', 0.07969255341928418), ('cinderella', 0.07697982073877853), ('baker', 0.07150524190323314), ('to', 0.07016393868841932), ('spoken', 0.06302357649341993), ('wife', 0.055823268539133525), ('prince', 0.04943467088246442), ('into', 0.045709461255654), ('jack', 0.04568619208542142), ('wish', 0.037733946811297076)]"
BERT,Rap,80s,"[('seymour', 0.18423698307773279), ('audrey', 0.12151232003505673), ('spoken', 0.08678137965288976), ('ii', 0.06144227452899813), ('to', 0.04963113749778643), ('mushnik', 0.04836799139545311), ('plant', 0.04202551814063133), ('feed', 0.03938161681777194), ('me', 0.03582726427111271), ('urchins', 0.0328631714885529)]"
BERT,Rap,80s,"[('marius', 0.10008381826867595), ('valjean', 0.06709983090411856), ('cosette', 0.06327756075947819), ('thenardier', 0.05210552764160466), ('eponine', 0.051841435031281524), ('to', 0.04756133620574391), ('me', 0.046297712821662715), ('is', 0.04527575188918155), ('he', 0.04242418392924903), ('will', 0.03894786800825091)]"
BERT,Rap,90s,"[('to', 0.07829425118478305), ('me', 0.06671048017908875), ('in', 0.05623982382953404), ('my', 0.055825414759919256), ('it', 0.0496418760248115), ('your', 0.0449055785353199), ('that', 0.03929308513907573), ('is', 0.039077593386951624), ('for', 0.038829734918742115), ('be', 0.037146987359892275)]"
