Method,Genre,Decade,Topic
BERT,Rap,70s,"[('christmas', 0.3655785641224447), ('merry', 0.19595536635273353), ('wish', 0.11368156732789156), ('happy', 0.0941408620354868), ('holidays', 0.072844920104922), ('to', 0.06908287749565015), ('lord', 0.066959915885239), ('do', 0.05957337791565652), ('they', 0.059288986048606114), ('someday', 0.05592413691120131)]"
BERT,Rap,70s,"[('to', 0.07187043162649988), ('me', 0.053251661745060665), ('in', 0.04932951061199544), ('my', 0.04702897646748179), ('it', 0.0434905089082343), ('love', 0.03839094996560158), ('be', 0.03443146704783801), ('your', 0.03435598814116944), ('that', 0.03394971732389042), ('all', 0.032145414493990165)]"
BERT,Rap,70s,"[('eva', 0.08743636609958948), ('to', 0.05339496247196898), ('but', 0.049861728172604244), ('be', 0.047955561347059396), ('me', 0.04631406536094031), ('copacabana', 0.04531679856143603), ('not', 0.044727822472322515), ('peron', 0.04417104549261944), ('your', 0.041838200583982174), ('aires', 0.03984562418641735)]"
BERT,Rap,80s,"[('christmas', 0.049688694609914694), ('george', 0.048582543588309546), ('to', 0.04771858457042892), ('in', 0.036560251529045074), ('dot', 0.034550379538386945), ('time', 0.032925157399556454), ('spoken', 0.03273035123091225), ('is', 0.03254586693060184), ('my', 0.03082195083373617), ('blue', 0.030058678007003375)]"
BERT,Rap,80s,"[('to', 0.0485872626298441), ('me', 0.0456503018990217), ('in', 0.03700666026321502), ('my', 0.035461747539157054), ('it', 0.03536421486181234), ('love', 0.032327811282435004), ('your', 0.030600784600007157), ('all', 0.027276109586426213), ('is', 0.026670056107677285), ('be', 0.02524392663503681)]"
BERT,Rap,80s,"[('cat', 0.09207492551659607), ('cats', 0.08252453251299274), ('jellicle', 0.07828914919565079), ('was', 0.05029451431745202), ('his', 0.04905248560358206), ('he', 0.04725195864905367), ('company', 0.04707210708812342), ('jellicles', 0.04584609838063826), ('to', 0.045302821030333895), ('mungojerrie', 0.04046136789003098)]"
BERT,Rap,80s,"[('christine', 0.10200437688699938), ('phantom', 0.07902888423684197), ('raoul', 0.07888447353924491), ('firmin', 0.059095674132924936), ('andre', 0.048496607900300956), ('this', 0.04364672285978874), ('to', 0.04180447589590161), ('is', 0.041229067010688764), ('angel', 0.03926934380151678), ('giry', 0.03846244368520531)]"
BERT,Rap,80s,"[('woods', 0.08621349203179406), ('cinderella', 0.0832782578034738), ('baker', 0.07735550159087846), ('to', 0.07101003332034057), ('wife', 0.06039135507862357), ('spoken', 0.05639713859339887), ('prince', 0.05347988833191906), ('jack', 0.049421178714587295), ('into', 0.04806800434127399), ('wish', 0.04082363450773425)]"
BERT,Rap,80s,"[('seymour', 0.1880455556725382), ('audrey', 0.12518510015890338), ('spoken', 0.08943601315353875), ('ii', 0.06329464725586653), ('mushnik', 0.04982350569921234), ('to', 0.048911202327162645), ('plant', 0.04101155940914796), ('feed', 0.04056852055479), ('urchins', 0.03385052419900049), ('me', 0.03281811593458882)]"
BERT,Rap,80s,"[('marius', 0.09698166606092741), ('valjean', 0.06501922883801342), ('cosette', 0.06131395380578805), ('thenardier', 0.050486557884092294), ('eponine', 0.0502308634182115), ('to', 0.048260629324238156), ('me', 0.04810309959545327), ('is', 0.04391845583542202), ('he', 0.04113449969103), ('my', 0.03832064402593089)]"
BERT,Rap,90s,"[('to', 0.07797301525701981), ('me', 0.06681614603751122), ('in', 0.05599737727351467), ('my', 0.05558431438018161), ('it', 0.049424334291283005), ('your', 0.04470661641016183), ('that', 0.03911663536310011), ('is', 0.03890233185036913), ('for', 0.03865536049282918), ('be', 0.03697924932320356)]"
BERT,Rap,90s,"[('christmas', 0.2514171643959153), ('merry', 0.10126043534783909), ('all', 0.07333297398518321), ('we', 0.06822166336599614), ('santa', 0.06216456623656868), ('to', 0.05476336971556161), ('is', 0.054062443218918274), ('happy', 0.04989929229127637), ('its', 0.04941910696792099), ('ho', 0.04916533138186548)]"
BERT,Rap,00s,"[('to', 0.06378193347427763), ('break', 0.05983392508736482), ('ryan', 0.056764008988924364), ('ensemble', 0.05087708443876709), ('me', 0.0503377875069294), ('chad', 0.04582873216307679), ('whoa', 0.042707698733957564), ('no', 0.0427038808581124), ('in', 0.04074268199188212), ('my', 0.038295723661003415)]"
BERT,Rap,00s,"[('to', 0.05934407694985347), ('me', 0.05859537968260004), ('my', 0.04708056362773264), ('it', 0.04552589760318542), ('in', 0.0400127123264969), ('your', 0.038216021392189346), ('that', 0.03557300280896321), ('im', 0.03473542301806523), ('all', 0.031289662247877124), ('be', 0.03101767225184294)]"
BERT,Rap,00s,"[('troy', 0.11491217725234376), ('it', 0.09685114327231868), ('gabriella', 0.08108754951242954), ('we', 0.07710917727358992), ('all', 0.07621940907363864), ('sharpay', 0.06517704267564543), ('yeah', 0.060836591413931454), ('company', 0.05833881299305111), ('want', 0.05581007472441436), ('spoken', 0.054516597712054735)]"
