Method,Genre,Decade,Topic
BERT,Rap,70s,"[('de', 0.09249656722833859), ('the', 0.057729071040675), ('que', 0.05586408208325998), ('la', 0.05478663640146867), ('se', 0.052155876808732834), ('and', 0.05094425402964939), ('en', 0.04932986857575611), ('el', 0.048182662329808286), ('wadada', 0.04355039552291454), ('las', 0.04256920292817348)]"
BERT,Rap,70s,"[('the', 0.10625222337732854), ('you', 0.08718988113889545), ('and', 0.07328172603846922), ('to', 0.06759567147621323), ('on', 0.05532225612327091), ('it', 0.04923604118625166), ('your', 0.045663142010127535), ('rock', 0.043117024937473665), ('of', 0.0360685275899462), ('my', 0.03588946936969042)]"
BERT,Rap,70s,"[('the', 0.09089703047587393), ('and', 0.07750897184794718), ('to', 0.06749906521252796), ('of', 0.06296830485392206), ('in', 0.050572340767946415), ('we', 0.046659071321545884), ('that', 0.046517553346396394), ('is', 0.04266599129420829), ('it', 0.04166973914284716), ('you', 0.038175756029459315)]"
BERT,Rap,70s,"[('swear', 0.142089916977849), ('you', 0.06757851613217186), ('the', 0.05709196092436981), ('and', 0.052067271192953644), ('that', 0.05092925965097654), ('to', 0.04601648707860197), ('me', 0.04435438280283015), ('of', 0.0423845781173233), ('my', 0.03694727692156997), ('in', 0.034619705287553)]"
BERT,Rap,80s,"[('the', 0.10710098307833578), ('and', 0.0762153225481258), ('you', 0.05816900009818813), ('to', 0.05418503857713129), ('me', 0.04577847317107973), ('on', 0.044017179143918415), ('in', 0.04349341246766303), ('self', 0.04308472327700713), ('destruction', 0.04151501894250467), ('we', 0.04148695245567847)]"
BERT,Rap,80s,"[('the', 0.0941712111584104), ('you', 0.07571212085441877), ('it', 0.07396720369816341), ('and', 0.0696731013972058), ('to', 0.0639000486238844), ('that', 0.041713639558021605), ('my', 0.04140897216048181), ('on', 0.03762602071778206), ('me', 0.03618226926904521), ('is', 0.034241888700422794)]"
BERT,Rap,80s,"[('swear', 0.12827088529971256), ('the', 0.11180576044762353), ('you', 0.07417835654983837), ('and', 0.07000588056645675), ('to', 0.061270447431880835), ('in', 0.04784513910852398), ('it', 0.04746703912877848), ('that', 0.045317068071325274), ('but', 0.03973723066010974), ('my', 0.039123453364248044)]"
BERT,Rap,90s,"[('the', 0.08924966897091058), ('to', 0.06475349077747866), ('it', 0.06320265575682882), ('and', 0.06124619958510822), ('you', 0.06064073596948344), ('me', 0.056235150753178934), ('my', 0.05066026170184734), ('swear', 0.04746481945721516), ('is', 0.043038243770340615), ('we', 0.04267055049758718)]"
BERT,Rap,90s,"[('the', 0.09645559318279572), ('swear', 0.08927030364412997), ('and', 0.06617458770858238), ('you', 0.06569703824612753), ('to', 0.05876790166032546), ('my', 0.05350423446732951), ('me', 0.04630771911343134), ('it', 0.045113863918177656), ('in', 0.04034381943725912), ('on', 0.03857627954819391)]"
BERT,Rap,90s,"[('the', 0.09437308862608833), ('you', 0.08718284077841779), ('it', 0.06343281181381659), ('and', 0.061784161586630804), ('to', 0.05381131685350372), ('we', 0.04612269677430426), ('that', 0.04456236461656549), ('in', 0.04335112842562573), ('my', 0.043121190352620596), ('on', 0.04198139343488066)]"
